2025-12-14 15:00:47 | INFO | src.pages.dashboard_page | Click on Add Employee BTN
2025-12-14 15:00:47 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 15:00:48 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 15:00:48 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 15:00:48 | INFO | src.pages.dashboard_page | Click on Add BTN
2025-12-14 15:00:48 | INFO | src.pages.dashboard_page | Employee succesfully added
2025-12-14 15:00:57 | INFO | src.pages.dashboard_page | Click on Add Employee BTN
2025-12-14 15:00:57 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 15:00:57 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 15:00:57 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 15:00:58 | INFO | src.pages.dashboard_page | Click on Add BTN
2025-12-14 15:00:58 | INFO | src.pages.dashboard_page | Employee succesfully added
2025-12-14 15:01:11 | INFO | src.pages.dashboard_page | Click on Add Employee BTN
2025-12-14 15:01:11 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 15:01:11 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 15:01:11 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 15:01:11 | INFO | src.pages.dashboard_page | Click on Add BTN
2025-12-14 15:01:11 | INFO | src.pages.dashboard_page | Employee succesfully added
2025-12-14 15:01:21 | WARNING | TC-04_Validate_Information | Login Succesfull
2025-12-14 15:01:22 | INFO | src.pages.dashboard_page | Net pay validated successfully | net=1961.54 gross=2000.0 benefits=38.46
2025-12-14 15:01:31 | WARNING | TC-05_Edit_Employee | Login Succesfull
2025-12-14 15:01:32 | INFO | src.pages.dashboard_page | Click on Edit Employee BTN
2025-12-14 15:01:32 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 15:01:32 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 15:01:32 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 15:01:32 | INFO | src.pages.dashboard_page | Click on Update BTN
2025-12-14 15:01:32 | INFO | src.pages.dashboard_page | Employee succesfully updated
2025-12-14 15:01:48 | WARNING | TC-06_Delete_Employee | Login Succesfull
2025-12-14 15:01:48 | INFO | src.pages.dashboard_page | Click on Edit Employee BTN
2025-12-14 15:01:48 | INFO | src.pages.dashboard_page | Click on Edit Employee BTN
2025-12-14 15:01:48 | INFO | src.pages.dashboard_page | Employee succesfully deleted
